fixture_id,home/name,home/team_id,home/homeoraway,home/Shots on Goal,home/Shots on Goal opposite,home/Shots off Goal,home/Shots off Goal opposite,home/Total Shots,home/Total Shots opposite,home/Blocked Shots,home/Blocked Shots opposite,home/Shots insidebox,home/Shots insidebox opposite,home/Shots outsidebox,home/Shots outsidebox opposite,home/Fouls,home/Fouls opposite,home/Corner Kicks,home/Corner Kicks opposite,home/Offsides,home/Offsides opposite,home/Yellow Cards,home/Yellow Cards opposite,home/Red Cards,home/Red Cards opposite,home/Goalkeeper Saves,home/Goalkeeper Saves opposite,home/Total passes,home/Total passes opposite,home/Passes accurate,home/Passes accurate opposite,home/Passes %,home/Passes % opposite,home/Ball Possession,home/Ball Possession opposite,home/matchsPlayed,home/wins,home/draws,home/loses,home/goalsFor,home/goalsAgainst,away/name,away/team_id,away/homeoraway,away/Shots on Goal,away/Shots on Goal opposite,away/Shots off Goal,away/Shots off Goal opposite,away/Total Shots,away/Total Shots opposite,away/Blocked Shots,away/Blocked Shots opposite,away/Shots insidebox,away/Shots insidebox opposite,away/Shots outsidebox,away/Shots outsidebox opposite,away/Fouls,away/Fouls opposite,away/Corner Kicks,away/Corner Kicks opposite,away/Offsides,away/Offsides opposite,away/Yellow Cards,away/Yellow Cards opposite,away/Red Cards,away/Red Cards opposite,away/Goalkeeper Saves,away/Goalkeeper Saves opposite,away/Total passes,away/Total passes opposite,away/Passes accurate,away/Passes accurate opposite,away/Passes %,away/Passes % opposite,away/Ball Possession,away/Ball Possession opposite,away/matchsPlayed,away/wins,away/draws,away/loses,away/goalsFor,away/goalsAgainst,Corner/home,Corner/away,goalsHomeTeam,goalsAwayTeam
157413,Dijon,89,home,4.125,3.5,6.125,5.25,13.875,12.75,3.625,4,8.125,7.625,5.75,5.125,13,13.875,6.75,4.75,1,0.875,2,2.25,0,0,2.5,3.125,425.75,470,338.375,381.75,0,0,47.625,52.375,8,3,3,2,1,1,Saint Etienne,1063,away,3.222222222,5.444444444,3.777777778,5.111111111,8.666666667,13.44444444,1.666666667,2.888888889,4.555555556,8.111111111,4.111111111,5.333333333,12,11.66666667,3.777777778,6.222222222,1.222222222,1.222222222,1.888888889,1.222222222,0.111111111,0,3.777777778,2,400.6666667,486.5555556,310,395.2222222,0,0,45.44444444,54.55555556,9,4,0,5,1.1,1.8,12,5,1,2
157435,Dijon,89,home,4.125,3.5,6.125,5.25,13.875,12.75,3.625,4,8.125,7.625,5.75,5.125,13,13.875,6.75,4.75,1,0.875,2,2.25,0,0,2.5,3.125,425.75,470,338.375,381.75,0,0,47.625,52.375,8,3,3,2,1,1,Bordeaux,78,away,3.333333333,3.888888889,3.888888889,6.888888889,9.333333333,13.88888889,2.111111111,3.111111111,4.444444444,7.222222222,4.888888889,6.666666667,14.77777778,13.33333333,3.444444444,5.222222222,1.222222222,1.222222222,1.777777778,2,0,0.222222222,2.444444444,1.888888889,512.4444444,405,424.4444444,321.4444444,0,0,55.77777778,44.22222222,9,3,3,3,1.4,1.6,3,7,0,2
157453,Dijon,89,home,4.125,3.5,6.125,5.25,13.875,12.75,3.625,4,8.125,7.625,5.75,5.125,13,13.875,6.75,4.75,1,0.875,2,2.25,0,0,2.5,3.125,425.75,470,338.375,381.75,0,0,47.625,52.375,8,3,3,2,1,1,Nimes,92,away,2.555555556,5.444444444,5,6.777777778,9.888888889,14.88888889,2.333333333,2.666666667,5.666666667,9.444444444,4.222222222,5.444444444,11.77777778,14.66666667,4.666666667,3.888888889,1.888888889,1.111111111,1.333333333,2.444444444,0.111111111,0.111111111,3.111111111,2.111111111,339.8888889,508.3333333,253,421.2222222,0,0,41.44444444,58.55555556,9,0,4,5,0.6,2.1,6,0,0,0
157479,Dijon,89,home,4.125,3.5,6.125,5.25,13.875,12.75,3.625,4,8.125,7.625,5.75,5.125,13,13.875,6.75,4.75,1,0.875,2,2.25,0,0,2.5,3.125,425.75,470,338.375,381.75,0,0,47.625,52.375,8,3,3,2,1,1,Marseille,81,away,4.111111111,4.888888889,5.111111111,3.888888889,11.88888889,11.55555556,2.666666667,2.777777778,7,6.444444444,4.888888889,5.111111111,13.44444444,12.22222222,4.222222222,4.222222222,0.777777778,1.777777778,2.111111111,2,0,0.111111111,3.555555556,2.777777778,479,424.3333333,398.6666667,343.2222222,0,0,53.88888889,46.11111111,9,4,3,2,1.3,1.3,8,3,0,0
157494,Dijon,89,home,4.125,3.5,6.125,5.25,13.875,12.75,3.625,4,8.125,7.625,5.75,5.125,13,13.875,6.75,4.75,1,0.875,2,2.25,0,0,2.5,3.125,425.75,470,338.375,381.75,0,0,47.625,52.375,8,3,3,2,1,1,Strasbourg,95,away,3.111111111,4.222222222,3.666666667,4.222222222,9.111111111,10.55555556,2.333333333,2.111111111,5.777777778,6.333333333,3.333333333,4.222222222,13.77777778,10.88888889,5.666666667,4.111111111,1.333333333,1.111111111,1.444444444,2,0,0.111111111,2.888888889,2.555555556,430.7777778,518.1111111,353.4444444,440.5555556,0,0,46.55555556,53.44444444,9,2,1,6,0.6,1.3,6,7,1,0
157529,Dijon,89,home,4.125,3.5,6.125,5.25,13.875,12.75,3.625,4,8.125,7.625,5.75,5.125,13,13.875,6.75,4.75,1,0.875,2,2.25,0,0,2.5,3.125,425.75,470,338.375,381.75,0,0,47.625,52.375,8,3,3,2,1,1,Paris Saint Germain,85,away,6.666666667,2.444444444,7.555555556,5.111111111,17.55555556,9.777777778,3.333333333,2.222222222,12.66666667,5.888888889,4.888888889,3.888888889,12.77777778,11,7,3.111111111,2,1.333333333,2.111111111,1.777777778,0,0.444444444,1.777777778,4.333333333,611.8888889,337.2222222,545.8888889,269.2222222,0,0,64.77777778,35.22222222,9,7,0,2,2.1,0.8,3,6,2,1
157552,Dijon,89,home,4.125,3.5,6.125,5.25,13.875,12.75,3.625,4,8.125,7.625,5.75,5.125,13,13.875,6.75,4.75,1,0.875,2,2.25,0,0,2.5,3.125,425.75,470,338.375,381.75,0,0,47.625,52.375,8,3,3,2,1,1,Rennes,94,away,3.111111111,3.888888889,4.222222222,6.555555556,9.777777778,15.33333333,2.444444444,4.888888889,5.444444444,8.333333333,4.333333333,7,14.11111111,15.88888889,3.888888889,4.888888889,0.777777778,0.777777778,2.111111111,2.555555556,0.111111111,0.111111111,3.111111111,2.111111111,400,459.4444444,320.3333333,379.1111111,0,0,46.88888889,53.11111111,9,4,2,3,1,0.8,4,4,2,1
157566,Dijon,89,home,4.125,3.5,6.125,5.25,13.875,12.75,3.625,4,8.125,7.625,5.75,5.125,13,13.875,6.75,4.75,1,0.875,2,2.25,0,0,2.5,3.125,425.75,470,338.375,381.75,0,0,47.625,52.375,8,3,3,2,1,1,Montpellier,82,away,2.777777778,4.555555556,4.555555556,5.333333333,9.777777778,13.66666667,2.444444444,3.777777778,6,7.111111111,3.777777778,6.555555556,16.33333333,15,4.555555556,5.666666667,1.888888889,1.555555556,1.888888889,2.555555556,0.111111111,0.222222222,3.444444444,2.111111111,399.7777778,433.3333333,300.5555556,341.2222222,0,0,48.77777778,51.22222222,9,0,5,4,0.8,1.2,12,6,2,2
157424,Toulouse,96,home,4.111111111,4.888888889,6,6.888888889,12.66666667,14.77777778,2.555555556,3,7.111111111,8.222222222,5.555555556,6.555555556,14.77777778,10.33333333,4,5.888888889,1,1.444444444,1.666666667,1.444444444,0.111111111,0,3.333333333,3.111111111,387.6666667,522.3333333,304.5555556,438.5555556,0,0,42.66666667,57.33333333,9,3,0,6,1,1.6,Dijon,89,away,3.2,5.5,5.5,7,10.5,16.3,1.8,3.8,6.5,9.6,4,6.7,12,11.3,3.7,7.1,1.2,1.8,1.3,1.1,0,0.1,4.4,2.7,417,483.8,331.7,401.5,0,0,46.4,53.6,10,1,2,7,0.4,1.2,7,5,1,0
157443,Angers,77,home,4.8,2.4,7,3.5,15.6,7.2,3.8,1.3,8.4,4.3,7.2,2.9,12.2,12.7,5.6,3.3,0.9,1.1,1.4,1.2,0,0,1.8,3.4,434.9,511,343.5,419.8,0,0,46,54,10,6,2,2,1.5,0.6,Dijon,89,away,3.2,5.5,5.5,7,10.5,16.3,1.8,3.8,6.5,9.6,4,6.7,12,11.3,3.7,7.1,1.2,1.8,1.3,1.1,0,0.1,4.4,2.7,417,483.8,331.7,401.5,0,0,46.4,53.6,10,1,2,7,0.4,1.2,5,3,2,0
