fixture_id,home/name,home/team_id,home/homeoraway,home/Shots on Goal,home/Shots on Goal opposite,home/Shots off Goal,home/Shots off Goal opposite,home/Total Shots,home/Total Shots opposite,home/Blocked Shots,home/Blocked Shots opposite,home/Shots insidebox,home/Shots insidebox opposite,home/Shots outsidebox,home/Shots outsidebox opposite,home/Fouls,home/Fouls opposite,home/Corner Kicks,home/Corner Kicks opposite,home/Offsides,home/Offsides opposite,home/Yellow Cards,home/Yellow Cards opposite,home/Red Cards,home/Red Cards opposite,home/Goalkeeper Saves,home/Goalkeeper Saves opposite,home/Total passes,home/Total passes opposite,home/Passes accurate,home/Passes accurate opposite,home/Passes %,home/Passes % opposite,home/Ball Possession,home/Ball Possession opposite,home/matchsPlayed,home/wins,home/draws,home/loses,home/goalsFor,home/goalsAgainst,away/name,away/team_id,away/homeoraway,away/Shots on Goal,away/Shots on Goal opposite,away/Shots off Goal,away/Shots off Goal opposite,away/Total Shots,away/Total Shots opposite,away/Blocked Shots,away/Blocked Shots opposite,away/Shots insidebox,away/Shots insidebox opposite,away/Shots outsidebox,away/Shots outsidebox opposite,away/Fouls,away/Fouls opposite,away/Corner Kicks,away/Corner Kicks opposite,away/Offsides,away/Offsides opposite,away/Yellow Cards,away/Yellow Cards opposite,away/Red Cards,away/Red Cards opposite,away/Goalkeeper Saves,away/Goalkeeper Saves opposite,away/Total passes,away/Total passes opposite,away/Passes accurate,away/Passes accurate opposite,away/Passes %,away/Passes % opposite,away/Ball Possession,away/Ball Possession opposite,away/matchsPlayed,away/wins,away/draws,away/loses,away/goalsFor,away/goalsAgainst,Corner/home,Corner/away,goalsHomeTeam,goalsAwayTeam
214022,Athletic Club,531,home,5.333333333,2.666666667,5.888888889,3.777777778,13.66666667,8.111111111,2.444444444,1.666666667,8.666666667,4.666666667,5,3.444444444,13.22222222,14.11111111,4.555555556,4.222222222,2.666666667,1.555555556,2.111111111,2.888888889,0,0,2.333333333,4,394.5555556,420,308.1111111,323.4444444,0,0,48.55555556,51.44444444,9,6,2,1,1.4,0.3,Barcelona,529,away,4.333333333,3.222222222,2.666666667,5.444444444,9.777777778,11.33333333,2.777777778,2.666666667,5.888888889,6.444444444,3.888888889,4.888888889,11.44444444,14.44444444,4.111111111,3.888888889,2.333333333,1.555555556,2.666666667,2.444444444,0.111111111,0,2,2.777777778,630.5555556,321.6666667,543.4444444,242,0,0,66.44444444,33.55555556,9,4,2,3,1.4,1.2,3,8,1,0
214043,Athletic Club,531,home,5.333333333,2.666666667,5.888888889,3.777777778,13.66666667,8.111111111,2.444444444,1.666666667,8.666666667,4.666666667,5,3.444444444,13.22222222,14.11111111,4.555555556,4.222222222,2.666666667,1.555555556,2.111111111,2.888888889,0,0,2.333333333,4,394.5555556,420,308.1111111,323.4444444,0,0,48.55555556,51.44444444,9,6,2,1,1.4,0.3,Real Sociedad,548,away,3.666666667,4.666666667,3.666666667,5.777777778,9.555555556,12.77777778,2.222222222,2.333333333,5.777777778,7.444444444,3.777777778,5.333333333,14.33333333,13.44444444,3.777777778,3.888888889,1.666666667,2.333333333,2.111111111,1.666666667,0,0.222222222,3.555555556,2.444444444,494.4444444,370.8888889,408,287.2222222,0,0,57.77777778,42.22222222,9,4,2,3,1.2,1.2,3,0,2,0
214062,Athletic Club,531,home,5.333333333,2.666666667,5.888888889,3.777777778,13.66666667,8.111111111,2.444444444,1.666666667,8.666666667,4.666666667,5,3.444444444,13.22222222,14.11111111,4.555555556,4.222222222,2.666666667,1.555555556,2.111111111,2.888888889,0,0,2.333333333,4,394.5555556,420,308.1111111,323.4444444,0,0,48.55555556,51.44444444,9,6,2,1,1.4,0.3,Alaves,542,away,2.25,4.875,4,6.75,7.5,15.875,1.25,4.25,5.375,10.125,2.125,5.75,16.25,10.875,3.125,5.25,1.75,2.25,2.75,1.75,0.375,0,2.5,1.5,321.375,445.125,221,342.625,0,0,42.375,57.625,8,1,1,6,0.9,2.4,3,2,2,0
214083,Athletic Club,531,home,5.333333333,2.666666667,5.888888889,3.777777778,13.66666667,8.111111111,2.444444444,1.666666667,8.666666667,4.666666667,5,3.444444444,13.22222222,14.11111111,4.555555556,4.222222222,2.666666667,1.555555556,2.111111111,2.888888889,0,0,2.333333333,4,394.5555556,420,308.1111111,323.4444444,0,0,48.55555556,51.44444444,9,6,2,1,1.4,0.3,Valencia,532,away,3.375,6.875,4,7.125,9,17.625,1.625,3.625,5.5,10.875,3.5,6.75,12.25,13.375,3.875,4.75,2,1.125,2.25,1.75,0.25,0.125,5,1.875,402,491,330.625,418.5,0,0,46.125,53.875,8,3,1,4,1.5,1.9,7,7,0,1
214103,Athletic Club,531,home,5.333333333,2.666666667,5.888888889,3.777777778,13.66666667,8.111111111,2.444444444,1.666666667,8.666666667,4.666666667,5,3.444444444,13.22222222,14.11111111,4.555555556,4.222222222,2.666666667,1.555555556,2.111111111,2.888888889,0,0,2.333333333,4,394.5555556,420,308.1111111,323.4444444,0,0,48.55555556,51.44444444,9,6,2,1,1.4,0.3,Valladolid,720,away,2.7,4.8,4.1,7,9.8,15.7,3,3.9,5,10.4,4.8,5.3,12.6,14.1,4.1,5.4,1.7,1.3,2.6,1.9,0,0.2,3.1,2,377.8,466.8,287.9,385.1,0,0,45.7,54.3,10,2,3,5,0.7,1.7,3,4,1,1
214123,Athletic Club,531,home,5.333333333,2.666666667,5.888888889,3.777777778,13.66666667,8.111111111,2.444444444,1.666666667,8.666666667,4.666666667,5,3.444444444,13.22222222,14.11111111,4.555555556,4.222222222,2.666666667,1.555555556,2.111111111,2.888888889,0,0,2.333333333,4,394.5555556,420,308.1111111,323.4444444,0,0,48.55555556,51.44444444,9,6,2,1,1.4,0.3,Espanyol,540,away,2.625,3.75,4.375,4.75,9.375,11.75,2.375,3.25,5.75,6.75,3.625,5,16,11.625,4,4.75,1.25,1.25,2.75,2,0.125,0.125,2.375,2,426.25,430.125,327.75,339.5,0,0,49.875,50.125,8,2,2,4,0.6,1.5,2,5,3,0
214143,Athletic Club,531,home,5.333333333,2.666666667,5.888888889,3.777777778,13.66666667,8.111111111,2.444444444,1.666666667,8.666666667,4.666666667,5,3.444444444,13.22222222,14.11111111,4.555555556,4.222222222,2.666666667,1.555555556,2.111111111,2.888888889,0,0,2.333333333,4,394.5555556,420,308.1111111,323.4444444,0,0,48.55555556,51.44444444,9,6,2,1,1.4,0.3,Levante,539,away,3.444444444,6.777777778,5,8.111111111,11.44444444,18.44444444,3,3.555555556,6.333333333,12.55555556,5.111111111,5.888888889,11.77777778,14,4.555555556,7.444444444,2.444444444,2.111111111,2.666666667,2.555555556,0,0,4.888888889,2.444444444,354.2222222,425,268.4444444,346.4444444,0,0,46.33333333,53.66666667,9,3,0,6,1.1,1.9,10,2,2,1
214163,Athletic Club,531,home,5.333333333,2.666666667,5.888888889,3.777777778,13.66666667,8.111111111,2.444444444,1.666666667,8.666666667,4.666666667,5,3.444444444,13.22222222,14.11111111,4.555555556,4.222222222,2.666666667,1.555555556,2.111111111,2.888888889,0,0,2.333333333,4,394.5555556,420,308.1111111,323.4444444,0,0,48.55555556,51.44444444,9,6,2,1,1.4,0.3,Granada CF,715,away,3.625,4.75,4.25,3.375,10.75,11.375,2.875,3.25,4.75,7.125,6,4.25,15,13.875,4.125,4.75,1.625,1.875,3.375,3.25,0,0.25,2.75,2.125,364.5,407.75,282.5,325.125,0,0,48.125,51.875,8,2,2,4,1.6,2,4,3,2,0
214183,Athletic Club,531,home,5.333333333,2.666666667,5.888888889,3.777777778,13.66666667,8.111111111,2.444444444,1.666666667,8.666666667,4.666666667,5,3.444444444,13.22222222,14.11111111,4.555555556,4.222222222,2.666666667,1.555555556,2.111111111,2.888888889,0,0,2.333333333,4,394.5555556,420,308.1111111,323.4444444,0,0,48.55555556,51.44444444,9,6,2,1,1.4,0.3,Eibar,545,away,2.888888889,3.444444444,5.666666667,4.444444444,10.33333333,10.66666667,1.777777778,2.777777778,6.111111111,7.111111111,4.222222222,3.555555556,14.33333333,10.77777778,4.666666667,5.111111111,1.888888889,4.444444444,3.222222222,2.111111111,0.111111111,0,2,2.222222222,357.2222222,385.1111111,249.7777778,282.8888889,0,0,48.66666667,51.33333333,9,1,4,4,0.8,1.4,6,7,0,0
214037,Getafe,546,home,3.444444444,2.555555556,4.111111111,2.555555556,10,7.111111111,2.444444444,2,6,4.111111111,4,3,18.66666667,14.66666667,4.666666667,3.555555556,2.555555556,3.777777778,2.888888889,3.333333333,0,0.111111111,1.777777778,1.666666667,311.7777778,362.5555556,198.1111111,248.6666667,0,0,46.44444444,53.55555556,9,5,3,1,1.9,0.8,Athletic Club,531,away,2.625,3.75,3.875,4.25,8.25,9.75,1.75,1.75,4.25,6.5,4,3.25,13.875,12.375,5.375,5.25,1.375,2.375,2.375,2,0,0,2.625,1.875,381.25,389.375,286.5,293.75,0,0,50,50,8,1,4,3,0.8,1.1,4,6,1,1
